Area,Date,Area type,Region,Amount (items),Amount (kg),Amount (USD),Module price (USD/W),Capacity (MW)
Afghanistan,2017-01-01,Country,Asia,49433,333324.0,1663024.0,0.38,4.376378947368421
Afghanistan,2017-02-01,Country,Asia,5452,82456.0,337723.0,0.38,0.8887447368421052
Afghanistan,2017-03-01,Country,Asia,51403,940507.0,3477201.0,0.38,9.15052894736842
Afghanistan,2017-04-01,Country,Asia,100875,1306053.0,4783758.0,0.38,12.58883684210526
Afghanistan,2017-05-01,Country,Asia,67325,786843.0,2823671.0,0.38,7.430713157894737
Afghanistan,2017-06-01,Country,Asia,20981,373215.0,1860356.0,0.38,4.895673684210527
Afghanistan,2017-07-01,Country,Asia,23098,265561.0,960426.0,0.38,2.527436842105263
Afghanistan,2017-08-01,Country,Asia,20491,187609.0,777118.0,0.32,2.42849375
Afghanistan,2017-09-01,Country,Asia,2712,49362.0,145986.0,0.31,0.4709225806451613
Afghanistan,2017-10-01,Country,Asia,4283,66549.0,252102.0,0.31,0.8132322580645162
Afghanistan,2017-11-01,Country,Asia,42786,783668.0,2336143.0,0.3,7.787143333333334
Afghanistan,2017-12-01,Country,Asia,27019,321274.0,1049659.0,0.3,3.4988633333333334
Afghanistan,2018-01-01,Country,Asia,17280,321189.0,1286452.0,0.29,4.436041379310345
Afghanistan,2018-02-01,Country,Asia,15244,260113.0,1112253.0,0.28,3.9723321428571423
Afghanistan,2018-03-01,Country,Asia,30080,543730.0,2022196.0,0.28,7.22212857142857
Afghanistan,2018-04-01,Country,Asia,58275,1112620.0,4324499.0,0.27,16.01666296296296
Afghanistan,2018-05-01,Country,Asia,62155,1122042.0,4281329.0,0.26,16.466649999999998
Afghanistan,2018-06-01,Country,Asia,27213,469439.0,1751866.0,0.26,6.737946153846153
Afghanistan,2018-07-01,Country,Asia,16652,266334.0,857888.0,0.25,3.431552
Afghanistan,2018-08-01,Country,Asia,19873,344625.0,1067415.0,0.25,4.26966
Afghanistan,2018-09-01,Country,Asia,10382,207212.0,611203.0,0.24,2.546679166666667
Afghanistan,2018-10-01,Country,Asia,34073,621569.0,1945712.0,0.24,8.107133333333334
Afghanistan,2018-11-01,Country,Asia,36748,795405.0,1798145.0,0.26,6.915942307692307
